,url_faltante
0,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2018/1
1,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2018/6
2,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2018/9
3,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2019/8
4,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2020/10
5,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2022/9
6,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/340045/2023/3
7,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330075/2013/4
8,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2013/9
9,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2013/11
10,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2014/7
11,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2015/3
12,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2016/2
13,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2020/3
14,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330160/2020/8
15,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330113/2020/7
16,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330113/2022/2
17,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330030/2015/6
18,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330030/2022/3
19,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330030/2023/7
20,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2013/7
21,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2016/9
22,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2017/5
23,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2019/10
24,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2020/2
25,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2020/3
26,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2020/7
27,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2022/3
28,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330122/2023/3
29,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2015/5
30,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2015/7
31,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2016/1
32,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2016/3
33,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2021/9
34,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2021/12
35,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2022/4
36,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2022/9
37,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2022/11
38,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330077/2023/1
39,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330019/2014/5
40,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330019/2016/1
41,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330019/2020/8
42,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330020/2015/5
43,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330020/2017/11
44,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330114/2014/5
45,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330114/2016/10
46,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330121/2020/3
47,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/330193/2021/4
48,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/320019/2015/10
49,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/320019/2018/3
50,https://climatologia.meteochile.gob.cl/application/mensual/temperaturaMediaMensual/320049/2016/6
